id,product_id,company_id,contract_period,rental_fee,benefit
158,215,3,36개월,"28,900","110,000"
159,215,3,48개월,"23,900","122,000"
160,215,3,60개월,"20,900","133,000"
161,216,3,36개월,"38,900","148,000"
162,216,3,48개월,"30,900","157,000"
163,216,3,60개월,"25,900","165,000"
164,217,3,36개월,"94,500","361,000"
165,217,3,48개월,"74,500","380,000"
166,217,3,60개월,"62,900","401,000"
167,218,2,36개월,"59,600","310,000"
168,218,2,48개월,"47,100","300,000"
169,218,2,60개월,"39,800","290,000"
170,218,1,36개월,"49,500","261,000"
171,218,1,48개월,"39,400","279,000"
172,218,1,60개월,"33,400","297,000"
173,219,5,36개월,"68,000","360,000"
174,219,5,48개월,"54,500","385,000"
175,219,5,60개월,"46,500","411,000"
176,219,3,36개월,"95,500","365,000"
177,219,3,48개월,"75,900","387,000"
178,219,3,60개월,"63,900","407,000"
179,219,2,36개월,"95,900","397,000"
180,219,2,48개월,"75,800","382,000"
181,219,2,60개월,"64,100","365,000"
182,219,6,36개월,"113,000","399,000"
183,219,6,48개월,"91,000","428,000"
184,219,6,60개월,"77,000","453,000"
185,219,4,36개월,"86,900","563,000"
186,219,4,48개월,"66,900","578,000"
187,219,4,60개월,"54,900","592,000"
188,220,6,36개월,"150,000","530,000"
189,220,6,48개월,"121,000","570,000"
190,220,6,60개월,"102,000","600,000"
191,220,1,36개월,"117,300","621,000"
192,220,1,48개월,"93,100","657,000"
193,220,1,60개월,"78,700","693,000"
194,220,5,36개월,"83,500","443,000"
195,220,5,48개월,"66,500","470,000"
196,220,5,60개월,"56,500","499,000"
197,220,3,36개월,"129,000","493,000"
198,220,3,48개월,"101,500","518,000"
199,220,3,60개월,"84,000","536,000"
200,220,4,36개월,"147,900","958,000"
201,220,4,48개월,"102,400","884,000"
202,220,4,60개월,"84,400","911,000"
203,221,1,36개월,"105,300","558,000"
204,221,1,48개월,"83,300","585,000"
205,221,1,60개월,"70,500","621,000"
206,221,6,36개월,"112,900","399,000"
207,221,6,48개월,"89,900","423,000"
208,221,6,60개월,"77,900","458,000"
209,222,1,36개월,"79,000","351,000"
210,222,1,48개월,"62,400","369,000"
211,222,1,60개월,"52,500","387,000"
212,222,5,36개월,"74,500","395,000"
213,222,5,48개월,"59,500","421,000"
214,222,5,60개월,"50,000","441,000"
215,222,2,36개월,"86,100","564,000"
216,222,2,48개월,"68,100","546,000"
217,222,2,60개월,"57,600","526,000"
218,222,3,36개월,"79,900","305,000"
219,222,3,48개월,"63,900","326,000"
220,222,3,60개월,"54,900","350,000"
221,222,4,36개월,"89,900","582,000"
222,222,4,48개월,"70,900","612,000"
223,222,4,60개월,"58,900","636,000"
224,223,1,36개월,"109,500","486,000"
225,223,1,48개월,"86,200","504,000"
226,223,1,60개월,"72,700","531,000"
227,223,5,36개월,"102,000","540,000"
228,223,5,48개월,"81,500","576,000"
229,223,5,60개월,"70,000","618,000"
230,223,2,36개월,"110,700","541,000"
231,223,2,48개월,"87,500","524,000"
232,223,2,60개월,"74,000","504,000"
233,223,3,36개월,"110,900","424,000"
234,223,3,48개월,"88,500","451,000"
235,223,3,60개월,"75,900","484,000"
236,223,4,36개월,"122,900","796,000"
237,223,4,48개월,"95,900","828,000"
238,223,4,60개월,"79,900","862,000"
239,224,5,36개월,"35,500","189,000"
240,224,5,48개월,"28,500","202,000"
241,224,5,60개월,"24,500","216,000"
242,225,4,36개월,"82,900","537,000"
243,225,4,48개월,"64,900","560,000"
244,225,4,60개월,"54,900","592,000"
245,225,1,36개월,"61,400","324,000"
246,225,1,48개월,"48,700","342,000"
247,225,1,60개월,"41,300","369,000"
248,225,2,36개월,"68,300","291,000"
249,225,2,48개월,"54,000","280,000"
250,225,2,60개월,"45,600","269,000"
251,181,1,36개월,"92,100","486,000"
252,181,1,48개월,"73,000","513,000"
253,181,1,60개월,"61,900","549,000"
254,181,2,36개월,"108,700","553,000"
255,181,2,48개월,"85,900","531,000"
256,181,2,60개월,"72,600","506,000"
257,182,3,36개월,"27,900","106,000"
258,182,3,48개월,"21,900","111,000"
259,182,3,60개월,"18,900","120,000"
260,183,4,36개월,"48,900","316,000"
261,183,4,48개월,"37,900","327,000"
262,183,4,60개월,"31,900","344,000"
263,183,2,36개월,"59,500","294,000"
264,183,2,48개월,"47,000","281,000"
265,183,2,60개월,"39,800","267,000"
266,184,5,36개월,"61,500","326,000"
267,184,5,48개월,"49,000","346,000"
268,184,5,60개월,"42,000","371,000"
269,184,6,36개월,"63,900","225,000"
270,184,6,48개월,"50,900","239,000"
271,184,6,60개월,"42,600","250,000"
272,184,3,36개월,"66,900","256,000"
273,184,3,48개월,"52,900","270,000"
274,184,3,60개월,"44,900","286,000"
275,184,1,36개월,"63,900","279,000"
276,184,1,48개월,"49,900","297,000"
277,184,1,60개월,"41,900","306,000"
278,185,2,36개월,"47,700","211,000"
279,185,2,48개월,"37,700","202,000"
280,185,2,60개월,"31,900","191,000"
281,185,1,36개월,"38,100","198,000"
282,185,1,48개월,"30,400","216,000"
283,185,1,60개월,"25,600","225,000"
284,186,1,36개월,"111,600","495,000"
285,186,1,48개월,"87,800","513,000"
286,186,1,60개월,"74,300","549,000"
287,186,5,36개월,"108,500","575,000"
288,186,5,48개월,"86,500","611,000"
289,186,5,60개월,"73,500","648,000"
290,187,4,36개월,"66,900","433,000"
291,187,4,48개월,"50,900","439,000"
292,187,4,60개월,"42,900","463,000"
293,188,4,36개월,"66,900","433,000"
294,188,4,48개월,"51,900","448,000"
295,188,4,60개월,"43,900","474,000"
296,189,5,36개월,"48,500","256,000"
297,189,5,48개월,"38,500","271,000"
298,189,5,60개월,"32,500","287,000"
299,189,4,36개월,"37,900","245,000"
300,189,4,48개월,"31,900","275,000"
301,189,4,60개월,"27,900","301,000"
302,189,1,36개월,"48,700","216,000"
303,189,1,48개월,"38,400","225,000"
304,189,1,60개월,"32,600","243,000"
305,190,6,36개월,"74,000","261,000"
306,190,6,48개월,"59,900","282,000"
307,190,6,60개월,"50,900","299,000"
308,191,4,36개월,"17,900","115,000"
309,191,4,48개월,"13,900","120,000"
310,191,4,60개월,"11,900","128,000"
311,192,7,36개월,"85,800","233,000"
312,192,7,48개월,"69,800","237,000"
313,192,7,60개월,"59,200","242,000"
314,193,7,36개월,"146,800","400,000"
315,193,7,48개월,"119,700","407,000"
316,193,7,60개월,"101,600","415,000"
317,194,3,36개월,"65,900","252,000"
318,194,3,48개월,"52,900","270,000"
319,194,3,60개월,"44,000","280,000"
320,195,3,36개월,"98,900","378,000"
321,195,3,48개월,"78,500","400,000"
322,195,3,60개월,"66,500","424,000"
323,195,5,36개월,"70,500","373,000"
324,195,5,48개월,"56,000","396,000"
325,195,5,60개월,"48,000","424,000"
326,196,6,36개월,"205,000","724,000"
327,196,6,48개월,"165,000","777,000"
328,196,6,60개월,"141,000","830,000"
329,196,2,36개월,"210,400","1,106,000"
330,196,2,48개월,"166,300","1,063,000"
331,196,2,60개월,"140,600","1,014,000"
332,196,1,36개월,"197,500","1,044,000"
333,196,1,48개월,"156,400","1,107,000"
334,196,1,60개월,"132,300","1,170,000"
335,197,4,36개월,"26,500","171,000"
336,197,4,48개월,"20,000","172,000"
337,197,4,60개월,"16,900","182,000"
338,198,3,36개월,"29,900","114,000"
339,198,3,48개월,"23,900","122,000"
340,198,3,60개월,"19,900","126,000"
341,198,4,36개월,"27,900","180,000"
342,198,4,48개월,"21,900","189,000"
343,198,4,60개월,"18,900","204,000"
344,198,1,36개월,"28,200","126,000"
345,198,1,48개월,"22,300","135,000"
346,198,1,60개월,"18,600","135,000"
347,199,5,36개월,"86,500","458,000"
348,199,5,48개월,"68,500","483,000"
349,199,5,60개월,"58,500","516,000"
350,200,5,36개월,"27,500","145,000"
351,200,5,48개월,"21,500","151,000"
352,200,5,60개월,"18,500","162,000"
353,201,1,36개월,"200,200","882,000"
354,201,1,48개월,"158,700","936,000"
355,201,1,60개월,"133,600","981,000"
356,201,5,36개월,"192,000","1,017,000"
357,201,5,48개월,"153,000","1,080,000"
358,201,5,60개월,"130,000","1,148,000"
359,202,5,36개월,"207,000","1,097,000"
360,202,5,48개월,"165,000","1,165,000"
361,202,5,60개월,"140,000","1,237,000"
362,202,1,36개월,"217,100","963,000"
363,202,1,48개월,"171,500","1,008,000"
364,202,1,60개월,"144,400","1,062,000"
365,203,7,36개월,"93,900","255,000"
366,203,7,48개월,"76,700","261,000"
367,203,7,60개월,"65,100","266,000"
368,204,7,36개월,"117,900","321,000"
369,204,7,48개월,"96,100","327,000"
370,204,7,60개월,"81,600","333,000"
371,205,1,36개월,"59,800","261,000"
372,205,1,48개월,"47,400","279,000"
373,205,1,60개월,"40,000","297,000"
374,205,5,36개월,"64,500","341,000"
375,205,5,48개월,"51,500","363,000"
376,205,5,60개월,"43,500","383,000"
377,206,4,36개월,"118,900","770,000"
378,206,4,48개월,"92,900","802,000"
379,206,4,60개월,"77,900","841,000"
380,206,1,36개월,"110,400","486,000"
381,206,1,48개월,"87,200","513,000"
382,206,1,60개월,"73,500","540,000"
383,206,5,36개월,"112,500","596,000"
384,206,5,48개월,"89,500","632,000"
385,206,5,60개월,"76,500","675,000"
386,207,7,36개월,"96,300","262,000"
387,207,7,48개월,"78,600","267,000"
388,207,7,60개월,"66,800","273,000"
389,208,7,36개월,"55,500","151,000"
390,208,7,48개월,"45,100","153,000"
391,208,7,60개월,"38,300","156,000"
392,209,7,36개월,"113,900","310,000"
393,209,7,48개월,"92,700","315,000"
394,209,7,60개월,"78,600","321,000"
395,210,7,36개월,"151,600","413,000"
396,210,7,48개월,"123,600","421,000"
397,210,7,60개월,"104,900","428,000"
398,211,4,60개월,"10,900","47,000"
399,212,4,36개월,"26,900","161,000"
400,212,4,48개월,"20,900","163,000"
401,212,4,60개월,"17,000","162,000"
402,213,3,36개월,"39,900","152,000"
403,213,3,48개월,"31,900","162,000"
404,213,3,60개월,"26,900","171,000"
405,214,1,36개월,"74,200","324,000"
406,214,1,48개월,"58,600","342,000"
407,214,1,60개월,"49,400","360,000"
408,215,3,36개월,"28,900","110,000"
409,215,3,48개월,"23,900","122,000"
410,215,3,60개월,"20,900","133,000"
411,216,3,36개월,"38,900","148,000"
412,216,3,48개월,"30,900","157,000"
