id,name,model,brand,main_category,sub_category,image_url,detail_url,options
14,삼성 2024 Crystal UHD TV 75인치 (벽걸이형) (KU75UD7030FXKR),KU75UD7030FXKR 벽걸이,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/f412fd1e50051ca89700e34d43eea6a1_2_1.png,http://rentalplace.kr/html/dh_prod/prod_view/23165,"{'화면크기': '70인치대', '형태': '벽걸이만', '타입': 'UHD TV', '월렌탈료': '4만원대', '규격': '(스탠드 미포함) 1677.5 x 962.4 x 61.1 mm\n(스탠드 포함) 1677.5 x 1006.3 x 325 mm'}"
15,삼성 QLED 75인치 벽걸이형 (KQ75QD68AFXKR_W),KQ75QD68AFXKR_W,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/88bc6257550b90189335f84f28a63e0a_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/19900,"{'화면크기': '70인치대', '형태': '벽걸이만', '타입': 'QLED TV', '월렌탈료': '7만원대', '규격': '1676.7 x 959.8 x 26.6 mm'}"
16,삼성 THE Frame QLED 4K TV (KQ85LSD03AFXKR) (스탠드),KQ85LSD03AFXKR_S,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/9df57eb7166b43704fc0a74e1526b6cf_1_1_1.png,http://rentalplace.kr/html/dh_prod/prod_view/19913,"{'화면크기': '80인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '9만원이상', '규격': '1904.3 x 1122.4 x 347.9 mm'}"
17,삼성 UHD TV 55인치 (LH55BEDHLBFXKR) (스탠드형),LH55BEDHLBFXKR,삼성,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/ad0175eaa013d86144cd2d1513fa9a6d_1.jpg,http://rentalplace.kr/html/dh_prod/prod_view/25109,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'UHD TV', '월렌탈료': '1만원대', '규격': '1234.1 x 710.8 x 60.3 mm'}"
18,"아남 UHD 스마트 TV 55인치  (벽걸이, 스탠드)",AMG-5500BS,아남,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/8955131af19feb87f81935332a2b7314_1.jpg,http://rentalplace.kr/html/dh_prod/prod_view/7582,"{'화면크기': '50인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '1만원대', '규격': '(스탠드 포함) 1229 x 710 x 50 mm\n(스탠드 미포함) 1229 x 768 x 265 mm', '제품정보': '스탠드 또는 벽걸이 타입중 선택\n- 벽걸이 타입 설치비용(설치 환경에 따라 상이) 별도'}"
19,LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),75UT931C0NA,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/149c1693f7f9b021360a03310c2aff96.png,http://rentalplace.kr/html/dh_prod/prod_view/24547,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '4만원대', '규격': '(스탠드 제외) 1677 x 965 x 30.9 mm\n(스탠드 포함) 1677 x 1032 x 359 mm'}"
20,LG LED FHD 43인치 TV (43LM6350KNA) (스탠드 or 벽걸이),43LM6350KNA,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/57393fbb8dc180c61cd0f7f323ca2345.png,http://rentalplace.kr/html/dh_prod/prod_view/20623,"{'화면크기': '40인치대', '형태': '스탠드 또는 벽걸이', '타입': 'FHD TV', '월렌탈료': '1만원대', '제품정보': '상세페이지 참고'}"
21,LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),OLED77B4S,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/e959816fce987a3c86e4ebc29b4a921a.jpg,http://rentalplace.kr/html/dh_prod/prod_view/20479,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '9만원이상', '규격': '(스탠드 포함) 1719 x 1057 x 319 mm\n(스탠드 제외) 1719 x 989 x 50.9 mm'}"
22,LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),86QNED91TKS/W,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/3085af6eba588ab595cd8baaa381ddd2_1.png,http://rentalplace.kr/html/dh_prod/prod_view/23170,"{'화면크기': '80인치대', '형태': '스탠드 또는 벽걸이', '타입': 'QLED TV', '월렌탈료': '9만원이상', '규격': '(스탠드 포함) 1925 x 1174 x 370 mm\n(스탠드 제외) 1925 x 1105 x 46.1 mm'}"
23,LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),75QNED86AK_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/3ac08101163e75ad5c0e93410a032164.png,http://rentalplace.kr/html/dh_prod/prod_view/27191,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': '스탠드 or 벽걸이', '월렌탈료': '6만원대', '규격': '(스탠드 제외) 1677 x 965 x 30.9 mm\n(스탠드 포함) 1677 x 994~1042 x 370 mm'}"
24,LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),75QNED9MAKW_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/1b352ef94b605aa24f91d744181fa094.png,http://rentalplace.kr/html/dh_prod/prod_view/27216,"{'화면크기': '70인치대', '형태': '벽걸이만', '타입': 'QLED TV', '월렌탈료': '8만원대', '규격': '1677 x 972 x 51.6 mm'}"
25,LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),65UT931C,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/7dd841fa3fb4f06323b38ab002713d01.png,http://rentalplace.kr/html/dh_prod/prod_view/24794,"{'화면크기': '60인치대', '형태': '스탠드 또는 벽걸이', '타입': '스탠드 OR 벽걸이', '월렌탈료': '3만원대', '규격': '(스탠드 포함) 1456 x 904 x 295 mm\n(스탠드 제외) 1456 x 840 x 29.7 mm'}"
