name,company,contract_period,rental_fee,benefit
LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),BS ON,48개월,"68,500","483,000"
LG IPS UHD TV 75인치 (75UT931C0NA) (스탠드 or 벽걸이),BS ON,60개월,"58,500","516,000"
LG LED FHD 43인치 TV (43LM6350KNA) (스탠드 or 벽걸이),BS ON,36개월,"27,500","145,000"
LG LED FHD 43인치 TV (43LM6350KNA) (스탠드 or 벽걸이),BS ON,48개월,"21,500","151,000"
LG LED FHD 43인치 TV (43LM6350KNA) (스탠드 or 벽걸이),BS ON,60개월,"18,500","162,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"200,200","882,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"158,700","936,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"133,600","981,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),BS ON,36개월,"192,000","1,017,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),BS ON,48개월,"153,000","1,080,000"
LG OLED 77인치 TV (OLED77B4SSW) (스탠드 or 벽걸이),BS ON,60개월,"130,000","1,148,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),BS ON,36개월,"207,000","1,097,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),BS ON,48개월,"165,000","1,165,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),BS ON,60개월,"140,000","1,237,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"217,100","963,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"171,500","1,008,000"
LG QLED TV 86인치 (86QNED91TKA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"144,400","1,062,000"
LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,36개월,"93,900","255,000"
LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,48개월,"76,700","261,000"
LG QNED TV 75인치 (75QNED86AKS) (스탠드 or 벽걸이),LG구독,60개월,"65,100","266,000"
LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,36개월,"117,900","321,000"
LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,48개월,"96,100","327,000"
LG QNED TV 75인치 (75QNED9MAKW) (벽걸이형),LG구독,60개월,"81,600","333,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"59,800","261,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"47,400","279,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"40,000","297,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),BS ON,36개월,"64,500","341,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),BS ON,48개월,"51,500","363,000"
LG TV 65인치 IPS UHD 65인치 (65UT931C) (스탠드 or 벽걸이),BS ON,60개월,"43,500","383,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,36개월,"118,900","770,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,48개월,"92,900","802,000"
